Population_2020,Population_2015,Population_2010,Population_2005,Area_Codes,Name(Japanese),Merged,Established after 2005,prefecture_romaji,latitude,longitude
3627.0,3985.0,4375.0,4726.0,43506.0,湯前町,0,0,Kumamoto Ken,32.2666666667,130.9666666667
9076.0,9791.0,10554.0,11398.0,43505.0,多良木町,0,0,Kumamoto Ken,32.25,130.9333333333
10288.0,10766.0,11075.0,11647.0,43501.0,錦町,0,0,Kumamoto Ken,32.2,130.8333333333
4254.0,4673.0,5062.0,5424.0,43484.0,津奈木町,0,0,Kumamoto Ken,32.2333333333,130.4333333333
15681.0,17661.0,19316.0,20840.0,43482.0,芦北町,0,0,Kumamoto Ken,32.2833333333,130.4833333333
11094.0,11994.0,12715.0,13232.0,43468.0,氷川町,0,0,Kumamoto Ken,32.5666666667,130.6666666667
13503.0,15149.0,16981.0,18761.0,43447.0,山都町,0,0,Kumamoto Ken,32.6833333333,130.9833333333
10132.0,10717.0,11181.0,11604.0,43444.0,甲佐町,0,0,Kumamoto Ken,32.65,130.8
32510.0,33611.0,32676.0,32782.0,43443.0,益城町,0,0,Kumamoto Ken,32.7833333333,130.8
9547.0,9054.0,8676.0,8492.0,43442.0,嘉島町,0,0,Kumamoto Ken,32.7333333333,130.75
16303.0,17237.0,17888.0,18116.0,43441.0,御船町,0,0,Kumamoto Ken,32.7,130.8
9836.0,11503.0,11972.0,12254.0,43433.0,南阿蘇村,0,0,Kumamoto Ken,32.8166666667,131.0166666667
6426.0,6802.0,6792.0,6352.0,43432.0,西原村,0,0,Kumamoto Ken,32.8333333333,130.9
5789.0,6325.0,6716.0,7081.0,43428.0,高森町,0,0,Kumamoto Ken,32.82728,131.12197
1382.0,1510.0,1606.0,1708.0,43425.0,産山村,0,0,Kumamoto Ken,32.9833333333,131.2166666667
6590.0,7187.0,7877.0,8621.0,43424.0,小国町,0,0,Kumamoto Ken,33.12158,131.06814
3750.0,4048.0,4429.0,4687.0,43423.0,南小国町,0,0,Kumamoto Ken,33.0833333333,131.0666666667
0.0,0.0,0.0,29076.0,43407.0,西合志町,1,0,Kumamoto Ken,32.88925,130.74472
0.0,0.0,0.0,22571.0,43405.0,合志町,1,0,Kumamoto Ken,32.886,130.78972
43337.0,40984.0,37734.0,32434.0,43404.0,菊陽町,0,0,Kumamoto Ken,32.85,130.8166666667
35187.0,33452.0,31234.0,29107.0,43403.0,大津町,0,0,Kumamoto Ken,32.8666666667,130.8666666667
0.0,0.0,0.0,30772.0,43385.0,植木町,1,0,Kumamoto Ken,32.90356,130.69428
9342.0,10191.0,11247.0,0.0,43369.0,和水町,0,1,Kumamoto Ken,32.9666666667,130.6
15372.0,15889.0,16594.0,17381.0,43368.0,長洲町,0,0,Kumamoto Ken,32.9166666667,130.45
8979.0,9786.0,10564.0,11203.0,43367.0,南関町,0,0,Kumamoto Ken,33.05,130.5333333333
0.0,0.0,0.0,5373.0,43366.0,三加和町,1,0,Kumamoto Ken,33.06572,130.62247
0.0,0.0,0.0,6527.0,43365.0,菊水町,1,0,Kumamoto Ken,32.97817,130.60581
5045.0,5265.0,5554.0,5626.0,43364.0,玉東町,0,0,Kumamoto Ken,32.9166666667,130.6166666667
0.0,0.0,0.0,6843.0,43363.0,天水町,1,0,Kumamoto Ken,32.86469,130.59314
0.0,0.0,0.0,5487.0,43362.0,横島町,1,0,Kumamoto Ken,32.87761,130.55564
0.0,0.0,0.0,14180.0,43361.0,岱明町,1,0,Kumamoto Ken,32.91686,130.52022
9392.0,10333.0,11388.0,12254.0,43348.0,美里町,0,0,Kumamoto Ken,32.63958,130.78886
0.0,0.0,0.0,7962.0,43342.0,富合町,1,0,Kumamoto Ken,32.71536,130.67892
